Action,Type,Time(s),Time (GMT+0000),Time (GMT+0200),Video time (s),Video time (hh:mm:ss),Application,Activity
"Click on ""Save"" button",Left Click,1712651914.182323,08:38:34,10:38:34,2108,00:35:08,VScode,Development
Drag VScode window,Left Click,1712651925.854513,08:38:45,10:38:45,2120,00:35:20,VScode,Development
"Double-click on ""Hello"" string (1)",Left Click,1712651928.590448,08:38:48,10:38:48,2122,00:35:22,VScode,Development
"Double-click on ""Hello"" string (2)",Left Click,1712651928.798527,08:38:48,10:38:48,2122,00:35:22,VScode,Development
Click on VScode window,Left Click,1712651929.654471,08:38:49,10:38:49,2123,00:35:23,VScode,Development
Click on VScode window,Left Click,1712651930.230468,08:38:50,10:38:50,2124,00:35:24,VScode,Development
Close VScode window,Left Click,1712651932.414497,08:38:52,10:38:52,2126,00:35:26,VScode,Development
"Click on ""Open a new tab"" Firefox icon",Left Click,1712651935.390515,08:38:55,10:38:55,2129,00:35:29,Firefox,Browsing
Close Youtube tab,Left Click,1712651936.230563,08:38:56,10:38:56,2130,00:35:30,Firefox,Browsing
Click on Firefox url bar,Left Click,1712651937.302563,08:38:57,10:38:57,2131,00:35:31,Firefox,Browsing
"Search ""google doc"" on Google",ENTER Key,1712651947.718670,08:39:07,10:39:07,2141,00:35:41,Firefox,Browsing
Click on Firefox url bar,Left Click,1712651957.918719,08:39:17,10:39:17,2152,00:35:52,Firefox,Browsing
"Search ""office 365"" on Google",ENTER Key,1712651962.590852,08:39:22,10:39:22,2156,00:35:56,Firefox,Browsing
"Open ""Office 365"" link",Left Click,1712651964.510777,08:39:24,10:39:24,2158,00:35:58,Firefox,Browsing
"Click on ""Sign in"" button",Left Click,1712651979.422915,08:39:39,10:39:39,2173,00:36:13,Office365,Office
"Click on ""Email"" field",Left Click,1712651983.982959,08:39:43,10:39:43,2178,00:36:18,Office365,Office
"Click on ""Next"" button",Left Click,1712651993.583037,08:39:53,10:39:53,2187,00:36:27,Office365,Office
"Click on ""Password"" field",Left Click,1712651995.551069,08:39:55,10:39:55,2189,00:36:29,Office365,Office
"Click on ""Sign in"" button",Left Click,1712652078.823867,08:41:18,10:41:18,2273,00:37:53,Office365,Office
"Click on ""Save"" Firefox pop-up button",Left Click,1712652082.471981,08:41:22,10:41:22,2276,00:37:56,Office365,Office
"Click on ""Yes"" button",Left Click,1712652083.927906,08:41:23,10:41:23,2278,00:37:58,Office365,Office
"Click on ""Create"" icon button",Left Click,1712652093.279975,08:41:33,10:41:33,2287,00:38:07,Office365,Office
"Click on ""Create"" icon button",Left Click,1712652100.464074,08:41:40,10:41:40,2294,00:38:14,Office365,Office
"Click on ""Presentation"" icon button",Left Click,1712652109.776129,08:41:49,10:41:49,2303,00:38:23,Office365,Office
"Click on ""Click to add title"" field",Left Click,1712652121.736243,08:42:01,10:42:01,2315,00:38:35,Office365,Office
"Click on ""Design"" menu button",Left Click,1712652128.208308,08:42:08,10:42:08,2322,00:38:42,Office365,Office
Close Office 365 pop-up,Left Click,1712652176.928816,08:42:56,10:42:56,2371,00:39:31,Office365,Office
"Click on ""Transitions"" menu button",Left Click,1712652178.256922,08:42:58,10:42:58,2372,00:39:32,Office365,Office
"Click on ""Design"" menu button",Left Click,1712652179.872876,08:42:59,10:42:59,2374,00:39:34,Office365,Office
"Click on ""Technology"" search picture button",Left Click,1712652188.848919,08:43:08,10:43:08,2383,00:39:43,Office365,Office
Select a picture,Left Click,1712652212.297184,08:43:32,10:43:32,2406,00:40:06,Office365,Office
Click on the picture,Left Click,1712652217.177185,08:43:37,10:43:37,2411,00:40:11,Office365,Office
"Click on ""Design"" menu button",Left Click,1712652219.449182,08:43:39,10:43:39,2413,00:40:13,Office365,Office
"Click on ""More theme"" arrow icon",Left Click,1712652222.329221,08:43:42,10:43:42,2416,00:40:16,Office365,Office
Select a theme,Left Click,1712652226.457311,08:43:46,10:43:46,2420,00:40:20,Office365,Office
"Click on ""Click to add title"" field",Left Click,1712652229.569341,08:43:49,10:43:49,2423,00:40:23,Office365,Office
"Click on ""Click to add title"" field",Left Click,1712652330.490270,08:45:30,10:45:30,2524,00:42:04,Office365,Office
"Select ""Results"" string",Left Click,1712652336.986360,08:45:36,10:45:36,2531,00:42:11,Office365,Office
"Click on ""File"" menu button",Left Click,1712652338.386358,08:45:38,10:45:38,2532,00:42:12,Office365,Office
Click on Firefox window,Left Click,1712652340.202359,08:45:40,10:45:40,2534,00:42:14,Office365,Office
"Click on ""Home"" menu button",Left Click,1712652341.770435,08:45:41,10:45:41,2535,00:42:15,Office365,Office
"Click on ""Click to add title"" field",Left Click,1712652344.962426,08:45:44,10:45:44,2539,00:42:19,Office365,Office
"Click on ""Click to add title"" field",Left Click,1712652345.378412,08:45:45,10:45:45,2539,00:42:19,Office365,Office
"Open context menu of ""Office 365"" presentation",Right Click,1712652507.204062,08:48:27,10:48:27,2701,00:45:01,Office365,Office
"Click on ""New Slide"" proposition",Left Click,1712652508.884110,08:48:28,10:48:28,2703,00:45:03,Office365,Office
Click on New Slide,Left Click,1712652510.100054,08:48:30,10:48:30,2704,00:45:04,Office365,Office
"Click on ""Click to add title"" field",Left Click,1712652515.812174,08:48:35,10:48:35,2709,00:45:09,Office365,Office
Click on Firefox window,Left Click,1712652524.060197,08:48:44,10:48:44,2718,00:45:18,Office365,Office
Click on Firefox window,Left Click,1712652526.276214,08:48:46,10:48:46,2720,00:45:20,Office365,Office
Open Thunderbird app,Left Click,1712652532.236293,08:48:52,10:48:52,2726,00:45:26,Thunderbird,Mail
"Open ""New link"" mail",Left Click,1712652533.868330,08:48:53,10:48:53,2728,00:45:28,Thunderbird,Mail
"Click on ""Zoom"" Thunderbird mail link",Left Click,1712652537.492362,08:48:57,10:48:57,2731,00:45:31,Zoom,Visioconference
"Click on ""Open Link"" Firefox pop-up button",Left Click,1712652564.748604,08:49:24,10:49:24,2758,00:45:58,Zoom,Visioconference
"Click on ""Cancel"" Ubuntu pop-up button",Left Click,1712652570.068661,08:49:30,10:49:30,2764,00:46:04,Zoom,Visioconference
"Click on ""ACCEPT COOKIES"" button",Left Click,1712652571.132703,08:49:31,10:49:31,2765,00:46:05,Zoom,Visioconference
"Click on ""Launch Meeting"" button",Left Click,1712652573.940711,08:49:33,10:49:33,2768,00:46:08,Zoom,Visioconference
"Check ""Always allow to open Zoom links"" Firefox pop-up checkbox",Left Click,1712652578.956735,08:49:38,10:49:38,2773,00:46:13,Zoom,Visioconference
"Click on ""Cancel"" Firefox pop-up button",Left Click,1712652583.564909,08:49:43,10:49:43,2777,00:46:17,Zoom,Visioconference
"Click on ""Join from Your Browser"" link",Left Click,1712652584.708807,08:49:44,10:49:44,2778,00:46:18,Zoom,Visioconference
"Click on ""I Agree"" button",Left Click,1712652589.172859,08:49:49,10:49:49,2783,00:46:23,Zoom,Visioconference
"Click on ""Start video"" button icon",Left Click,1712652598.036968,08:49:58,10:49:58,2792,00:46:32,Zoom,Visioconference
"Click on ""Allow"" Firefox pop-up button",Left Click,1712652601.908972,08:50:01,10:50:01,2796,00:46:36,Zoom,Visioconference
"Click on ""Join audio"" button icon",Left Click,1712652605.101001,08:50:05,10:50:05,2799,00:46:39,Zoom,Visioconference
"Click on ""Your Name"" field",Left Click,1712652608.261030,08:50:08,10:50:08,2802,00:46:42,Zoom,Visioconference
"Click on ""Allow"" Firefox pop-up button",Left Click,1712652613.437099,08:50:13,10:50:13,2807,00:46:47,Zoom,Visioconference
"Click on ""Your Name"" field",Left Click,1712652614.445143,08:50:14,10:50:14,2808,00:46:48,Zoom,Visioconference
"Check ""Remember my name"" checkbox",Left Click,1712652617.909266,08:50:17,10:50:17,2812,00:46:52,Zoom,Visioconference
"Click on ""Mute"" microphone button icon",Left Click,1712652621.261206,08:50:21,10:50:21,2815,00:46:55,Zoom,Visioconference
"Click on ""Join"" button",Left Click,1712652633.661308,08:50:33,10:50:33,2827,00:47:07,Zoom,Visioconference
"Click on ""Always Block"" Firefox pop-up button",Left Click,1712652641.037372,08:50:41,10:50:41,2835,00:47:15,Zoom,Visioconference
"Click on ""Stop Video"" Zoom button icon",Left Click,1712652739.422408,08:52:19,10:52:19,2933,00:48:53,Zoom,Visioconference
"Click on ""Start Video"" Zoom button icon",Left Click,1712652741.182374,08:52:21,10:52:21,2935,00:48:55,Zoom,Visioconference
"Click on ""Chat"" Zoom button icon",Left Click,1712652754.206563,08:52:34,10:52:34,2948,00:49:08,Zoom,Visioconference
"Click on ""Chat"" text field",Left Click,1712652756.286540,08:52:36,10:52:36,2950,00:49:10,Zoom,Visioconference
"Send ""Chat"" message",ENTER Key,1712652770.702716,08:52:50,10:52:50,2964,00:49:24,Zoom,Visioconference
"Send ""Chat"" message",ENTER Key,1712652781.726831,08:53:01,10:53:01,2975,00:49:35,Zoom,Visioconference
"Click on ""Leave"" Zoom button",Left Click,1712652793.670965,08:53:13,10:53:13,2987,00:49:47,Zoom,Visioconference
"Click on ""Leave meeting"" Zoom button",Left Click,1712652794.870932,08:53:14,10:53:14,2989,00:49:49,Zoom,Visioconference
"Click on ""Join Meeting"" button",Left Click,1712652796.823013,08:53:16,10:53:16,2991,00:49:51,Zoom,Visioconference
Open Thunderbird window,Left Click,1712652799.063012,08:53:19,10:53:19,2993,00:49:53,Thunderbird,Mail
"Click on ""Zoom"" Thunderbird mail link",Left Click,1712652800.799061,08:53:20,10:53:20,2994,00:49:54,Thunderbird,Mail
Open Firefox window,Left Click,1712652803.951022,08:53:23,10:53:23,2998,00:49:58,Firefox,Browsing
"Close ""Office 365"" tab",Wheel Click,1712652806.655048,08:53:26,10:53:26,3000,00:50:00,Firefox,Browsing
"Close ""Office 365 Presentation"" tab",Wheel Click,1712652807.279046,08:53:27,10:53:27,3001,00:50:01,Firefox,Browsing
"Move to ""Zoom Join Metting"" tab",Left Click,1712652812.527112,08:53:32,10:53:32,3006,00:50:06,Firefox,Browsing
"Close ""Zoom join Meeting"" tab",Wheel Click,1712652813.455116,08:53:33,10:53:33,3007,00:50:07,Firefox,Browsing
"Click on ""Cancel"" Firefox pop-up button",Left Click,1712652816.943198,08:53:36,10:53:36,3011,00:50:11,Zoom,Visioconference
"Click on ""Join from Your Browser"" link",Left Click,1712652818.287170,08:53:38,10:53:38,3012,00:50:12,Zoom,Visioconference
"Click on ""Allow"" Firefox pop-up button",Left Click,1712652828.119261,08:53:48,10:53:48,3022,00:50:22,Zoom,Visioconference
"Click on ""Camera"" Firefox pop-up dropdown",Left Click,1712652832.039313,08:53:52,10:53:52,3026,00:50:26,Zoom,Visioconference
"Click on ""Camera"" Firefox pop-up dropdown",Left Click,1712652833.615353,08:53:53,10:53:53,3027,00:50:27,Zoom,Visioconference
"Click on ""Allow"" Firefox pop-up button",Left Click,1712652834.367328,08:53:54,10:53:54,3028,00:50:28,Zoom,Visioconference
"Click on ""Activities"" Ubuntu button",Left Click,1712652855.175535,08:54:15,10:54:15,3049,00:50:49,Ubuntu,System
"Open Ubuntu ""Settings"" ",ENTER Key,1712652867.591709,08:54:27,10:54:27,3061,00:51:01,Ubuntu,System
"Click on ""Search"" icon",Left Click,1712652871.431771,08:54:31,10:54:31,3065,00:51:05,Ubuntu,System
"Click on ""Sound"" menu button",Left Click,1712652879.791813,08:54:39,10:54:39,3073,00:51:13,Ubuntu,System
"Click on ""Settings"" window",Left Click,1712652883.695814,08:54:43,10:54:43,3077,00:51:17,Ubuntu,System
"Click on ""Displays"" menu button",Left Click,1712652887.039874,08:54:47,10:54:47,3081,00:51:21,Ubuntu,System
"Click on ""Sharing"" menu button",Left Click,1712652890.303924,08:54:50,10:54:50,3084,00:51:24,Ubuntu,System
"Click on ""Applications"" menu button",Left Click,1712652892.799972,08:54:52,10:54:52,3086,00:51:26,Ubuntu,System
"Close ""Settings"" window",Left Click,1712652896.863986,08:54:56,10:54:56,3091,00:51:31,Ubuntu,System
"Click on ""Stop Video"" Zoom button icon",Left Click,1712652899.175997,08:54:59,10:54:59,3093,00:51:33,Zoom,Visioconference
"Click on ""Open a new tab"" Firefox icon",Left Click,1712652902.416032,08:55:02,10:55:02,3096,00:51:36,Firefox,Browsing
"Close ""Zoom"" tab",Wheel Click,1712652906.048075,08:55:06,10:55:06,3100,00:51:40,Firefox,Browsing
"Click on ""zoom install"" search proposition",Left Click,1712652908.320109,08:55:08,10:55:08,3102,00:51:42,Firefox,Browsing
"Click on ""Download Zoom Desktop client"" link",Left Click,1712652913.368197,08:55:13,10:55:13,3107,00:51:47,Firefox,Browsing
"Click on ""ACCEPT COOKIES"" button",Left Click,1712652938.264446,08:55:38,10:55:38,3132,00:52:12,Firefox,Browsing
"Open ""Download Center"" link",Wheel Click,1712652947.232483,08:55:47,10:55:47,3141,00:52:21,Firefox,Browsing
"Open ""Zoom Linux"" link",Wheel Click,1712652949.544494,08:55:49,10:55:49,3143,00:52:23,Firefox,Browsing
"Moving to ""Zoom Linux"" tab",Left Click,1712652953.240527,08:55:53,10:55:53,3147,00:52:27,Firefox,Browsing
"Click on ""Using the terminal"" link",Left Click,1712652960.752711,08:56:00,10:56:00,3154,00:52:34,Firefox,Browsing
"Open ""Download Center 2"" link",Wheel Click,1712652967.808703,08:56:07,10:56:07,3161,00:52:41,Firefox,Browsing
"Moving to ""Download Center 2"" tab",Left Click,1712652968.856701,08:56:08,10:56:08,3163,00:52:43,Firefox,Browsing
"Close ""Download Center"" tab",Wheel Click,1712652970.464705,08:56:10,10:56:10,3164,00:52:44,Firefox,Browsing
"Click on ""Linux Type"" dropdown",Left Click,1712652972.984730,08:56:12,10:56:12,3167,00:52:47,Firefox,Browsing
"Select ""Ubuntu"" proposition",Left Click,1712652973.888742,08:56:13,10:56:13,3168,00:52:48,Firefox,Browsing
"Click on ""Download"" button",Left Click,1712652975.216753,08:56:15,10:56:15,3169,00:52:49,Firefox,Browsing_Download
Open terminal window,Left Click,1712652978.912820,08:56:18,10:56:18,3173,00:52:53,Terminal,System
Click on terminal command field,Left Click,1712652980.096809,08:56:20,10:56:20,3174,00:52:54,Terminal,System
"Run ""sudo dpkg -i zoom_amd64.deb"" command",ENTER Key,1712652990.441053,08:56:30,10:56:30,3184,00:53:04,Terminal,System
Validate password,ENTER Key,1712652992.937050,08:56:32,10:56:32,3187,00:53:07,Terminal,System
Click on terminal window,Left Click,1712653023.041296,08:57:03,10:57:03,3217,00:53:37,Terminal,System
"Select ""libxcb-xinerama0"" (1)",Left Click,1712653027.497367,08:57:07,10:57:07,3221,00:53:41,Terminal,System
"Select ""libxcb-xinerama0"" (2)",Left Click,1712653027.665370,08:57:07,10:57:07,3221,00:53:41,Terminal,System
"Paste ""libxcb-xinerama0""",Wheel Click,1712653028.641372,08:57:08,10:57:08,3222,00:53:42,Terminal,System
"Select ""libxcb-xtest0"" (1)",Left Click,1712653029.521367,08:57:09,10:57:09,3223,00:53:43,Terminal,System
"Select ""libxcb-xtest0"" (2)",Left Click,1712653029.681360,08:57:09,10:57:09,3223,00:53:43,Terminal,System
"Paste ""libxcb-xtest0"" ",Wheel Click,1712653030.105374,08:57:10,10:57:10,3224,00:53:44,Terminal,System
"Select ""libxcb-cursor0"" (1)",Left Click,1712653030.945397,08:57:10,10:57:10,3225,00:53:45,Terminal,System
"Select ""libxcb-cursor0"" (2)",Left Click,1712653031.097418,08:57:11,10:57:11,3225,00:53:45,Terminal,System
"Paste ""libxcb-cursor0""",Wheel Click,1712653031.449374,08:57:11,10:57:11,3225,00:53:45,Terminal,System
"Run ""sudo apt install libxcb-xinerama0 libxcb-xtest0 libxcb-cursor0"" command",ENTER Key,1712653032.209396,08:57:12,10:57:12,3226,00:53:46,Terminal,System_Download
"Run ""sudo dpkg -i zoom_amd64.deb"" command",ENTER Key,1712653039.041463,08:57:19,10:57:19,3233,00:53:53,Terminal,System
"Close ""Download Zoom Desktop client"" tab",Wheel Click,1712653065.425691,08:57:45,10:57:45,3259,00:54:19,Firefox,Browsing
"Close ""Zoom Linux"" tab",Wheel Click,1712653065.881791,08:57:45,10:57:45,3260,00:54:20,Firefox,Browsing
Open Thunderbird window,Left Click,1712653066.905702,08:57:46,10:57:46,3261,00:54:21,Thunderbird,Mail
"Click on ""Zoom"" Thunderbird mail link",Left Click,1712653069.169753,08:57:49,10:57:49,3263,00:54:23,Thunderbird,Mail
"Click on ""Open Link"" Firefox pop-up button",Left Click,1712653070.737782,08:57:50,10:57:50,3264,00:54:24,Zoom,Visioconference
"Click on ""Launch meeting""",Left Click,1712653076.521806,08:57:56,10:57:56,3270,00:54:30,Zoom,Visioconference
"Select ""user"" string",Left Click,1712653087.777922,08:58:07,10:58:07,3281,00:54:41,Zoom,Visioconference
"Click on ""Join"" Zoom button",Left Click,1712653091.466068,08:58:11,10:58:11,3285,00:54:45,Zoom,Visioconference
"Click on ""I Agree"" Zoom pop-up button",Left Click,1712653093.018021,08:58:13,10:58:13,3287,00:54:47,Zoom,Visioconference
"Click on ""Join"" button",Left Click,1712653097.378060,08:58:17,10:58:17,3291,00:54:51,Zoom,Visioconference
Drag Zoom window,Left Click,1712653101.202065,08:58:21,10:58:21,3295,00:54:55,Zoom,Visioconference
"Click on ""Join with Computer Audio"" button",Left Click,1712653108.842158,08:58:28,10:58:28,3303,00:55:03,Zoom,Visioconference
"Close ""Summarize your meeting with AI"" Zoom pop-up",Left Click,1712653114.178196,08:58:34,10:58:34,3308,00:55:08,Zoom,Visioconference
"Click on ""Zoom Whiteboard"" Zoom pop-up",Left Click,1712653117.906221,08:58:37,10:58:37,3312,00:55:12,Zoom,Visioconference
"Close ""Zoom Whiteboard"" Zoom pop-up",Left Click,1712653129.922359,08:58:49,10:58:49,3324,00:55:24,Zoom,Visioconference
"Click on ""Share screen""",Left Click,1712653154.954620,08:59:14,10:59:14,3349,00:55:49,Zoom,Visioconference
"Click on ""Stop Video"" Zoom button icon",Left Click,1712653166.490739,08:59:26,10:59:26,3360,00:56:00,Zoom,Visioconference
"Click on ""Advanced"" button",Left Click,1712653189.450961,08:59:49,10:59:49,3383,00:56:23,Zoom,Visioconference
"Click on ""Basic"" button",Left Click,1712653198.419055,08:59:58,10:59:58,3392,00:56:32,Zoom,Visioconference
"Select ""Use system window capture"" button icon",Left Click,1712653207.691149,09:00:07,11:00:07,3401,00:56:41,Zoom,Visioconference
"Click on ""Share"" button",Left Click,1712653218.563261,09:00:18,11:00:18,3412,00:56:52,Zoom,Visioconference
"Try to drag ""Screen Share""",Left Click,1712653235.179439,09:00:35,11:00:35,3429,00:57:09,Zoom,Visioconference
Select Firefox screen,Left Click,1712653240.483487,09:00:40,11:00:40,3434,00:57:14,Zoom,Visioconference
"Click on ""Share"" button",Left Click,1712653253.323623,09:00:53,11:00:53,3447,00:57:27,Zoom,Visioconference
Click on Firefox window,Left Click,1712653255.835648,09:00:55,11:00:55,3450,00:57:30,Zoom,Visioconference
Drag Firefox window,Left Click,1712653260.131678,09:01:00,11:01:00,3454,00:57:34,Zoom,Visioconference
"Close ""Zoom"" tab",Left Click,1712653262.243679,09:01:02,11:01:02,3456,00:57:36,Zoom,Visioconference
Click on Firefox url bar,Left Click,1712653263.179677,09:01:03,11:01:03,3457,00:57:37,Firefox,Browsing
"Click on ""www.office.com"" search proposition",Left Click,1712653268.643808,09:01:08,11:01:08,3462,00:57:42,Firefox,Browsing
Enlarge Firefox window,Left Click,1712653273.867712,09:01:13,11:01:13,3468,00:57:48,Firefox,Browsing
"Click on ""Presentation Template"" button icon",Left Click,1712653293.483772,09:01:33,11:01:33,3487,00:58:07,Office365,Office
"Click on ""Back"" Firefox icon",Left Click,1712653296.331786,09:01:36,11:01:36,3490,00:58:10,Office365,Office
"Click on ""PowerPoint"" menu icon",Left Click,1712653315.443849,09:01:55,11:01:55,3509,00:58:29,Office365,Office
"Click on ""Presentation1"" button",Left Click,1712653332.971897,09:02:12,11:02:12,3527,00:58:47,Office365,Office
"Click on ""Share"" dropdown",Left Click,1712653346.635948,09:02:26,11:02:26,3540,00:59:00,Office365,Office
Drag Zoom dialog box,Left Click,1712653351.187977,09:02:31,11:02:31,3545,00:59:05,Office365,Office
"Click on ""Share"" dropdown",Left Click,1712653385.588122,09:03:05,11:03:05,3579,00:59:39,Office365,Office
"Click on ""Share"" proposition",Left Click,1712653388.012169,09:03:08,11:03:08,3582,00:59:42,Office365,Office
"Click on ""Copy"" button",Left Click,1712653392.172144,09:03:12,11:03:12,3586,00:59:46,Office365,Office
"Close ""Share"" Office 365 pop-up ",Left Click,1712653393.564155,09:03:13,11:03:13,3587,00:59:47,Office365,Office
"Close ""Office 365"" tab",Left Click,1712653397.468174,09:03:17,11:03:17,3591,00:59:51,Firefox,Browsing
Close Firefox app,Left Click,1712653400.396301,09:03:20,11:03:20,3594,00:59:54,Firefox,Browsing
"Click on ""OK"" Zoom sharescreen pop-up button",Left Click,1712653405.732206,09:03:25,11:03:25,3599,00:59:59,Firefox,Browsing
Open Zoom window,Left Click,1712653407.324217,09:03:27,11:03:27,3601,01:00:01,Zoom,Visioconference
"Click on ""Zoom"" icon",Left Click,1712653416.532245,09:03:36,11:03:36,3610,01:00:10,Zoom,Visioconference
Click on Zoom window,Left Click,1712653419.132274,09:03:39,11:03:39,3613,01:00:13,Zoom,Visioconference
"Click on ""Show Captions"" icon",Left Click,1712653421.524332,09:03:41,11:03:41,3615,01:00:15,Zoom,Visioconference
"Click on ""Show Captions"" icon",Left Click,1712653422.604294,09:03:42,11:03:42,3616,01:00:16,Zoom,Visioconference
"Click on ""Whiteborad"" icon",Left Click,1712653423.956324,09:03:43,11:03:43,3618,01:00:18,Zoom,Visioconference
"Click on ""Zoom"" windows",Left Click,1712653425.676296,09:03:45,11:03:45,3619,01:00:19,Zoom,Visioconference
"Click on ""Chat"" icon",Left Click,1712653427.284310,09:03:47,11:03:47,3621,01:00:21,Zoom,Visioconference
"Click on ""Chat"" text field",Left Click,1712653428.892319,09:03:48,11:03:48,3623,01:00:23,Zoom,Visioconference
"Send ""Chat"" message",ENTER Key,1712653430.868368,09:03:50,11:03:50,3625,01:00:25,Zoom,Visioconference
"Click on ""Chat"" text field",Left Click,1712653443.452444,09:04:03,11:04:03,3637,01:00:37,Zoom,Visioconference
"Click on ""Chat"" text field",Left Click,1712653486.404599,09:04:46,11:04:46,3680,01:01:20,Zoom,Visioconference
"Send ""Chat"" message",ENTER Key,1712653488.036688,09:04:48,11:04:48,3682,01:01:22,Zoom,Visioconference
"Click on ""Leave"" Zoom button",Left Click,1712653490.460673,09:04:50,11:04:50,3684,01:01:24,Zoom,Visioconference
"Click on ""End meeting for all"" Zoom button",Left Click,1712653504.180734,09:05:04,11:05:04,3698,01:01:38,Zoom,Visioconference
"Close ""Zoom cloud meetings"" app",Left Click,1712653507.316708,09:05:07,11:05:07,3701,01:01:41,Zoom,Visioconference
"Close ""Zoom cloud meetings"" app",Left Click,1712653509.292723,09:05:09,11:05:09,3703,01:01:43,Zoom,Visioconference
Minimize Thunderbird window,Left Click,1712653513.076733,09:05:13,11:05:13,3707,01:01:47,Thunderbird,Mail
"Click on ""Cancel"" Firefox pop-up button",Left Click,1712653517.716767,09:05:17,11:05:17,3711,01:01:51,Firefox,Browsing
Close Firefox app,Left Click,1712653519.100772,09:05:19,11:05:19,3713,01:01:53,Firefox,Browsing
Drag terminal window,Left Click,1712653521.004863,09:05:21,11:05:21,3715,01:01:55,Terminal,System
Close terminal app,Left Click,1712653523.276883,09:05:23,11:05:23,3717,01:01:57,Terminal,System
Open Firefox app,Left Click,1712653553.164960,09:05:53,11:05:53,3747,01:02:27,Firefox,Browsing
Click on Firefox url bar,Left Click,1712653578.221142,09:06:18,11:06:18,3772,01:02:52,Firefox,Browsing
Click on Firefox url bar,Left Click,1712653580.509227,09:06:20,11:06:20,3774,01:02:54,Firefox,Browsing
"Search ""info"" on Google",ENTER Key,1712653590.629213,09:06:30,11:06:30,3784,01:03:04,Firefox,Browsing
"Click on ""France info"" article link",Left Click,1712653594.677211,09:06:34,11:06:34,3788,01:03:08,Firefox,Browsing
"Click on ""Accept cookies"" button",Left Click,1712653599.085231,09:06:39,11:06:39,3793,01:03:13,France Info,Information
"Open ""Wolf"" article link",Left Click,1712653623.957385,09:07:03,11:07:03,3818,01:03:38,France Info,Information
"Close ""Wolf"" article pop-up ",Left Click,1712653628.989482,09:07:08,11:07:08,3823,01:03:43,France Info,Information
"Click on ""Open a new tab"" Firefox icon",Left Click,1712653630.325459,09:07:10,11:07:10,3824,01:03:44,Firefox,Browsing
"Close ""France info"" tab",Wheel Click,1712653632.853525,09:07:12,11:07:12,3827,01:03:47,Firefox,Browsing
Open Thunderbird window,Left Click,1712653638.253489,09:07:18,11:07:18,3832,01:03:52,Thunderbird,Mail
"Click on ""Drafts"" Thunderbird menu button",Left Click,1712653646.757622,09:07:26,11:07:26,3840,01:04:00,Thunderbird,Mail
"Click on ""Sent"" Thunderbird menu button",Left Click,1712653647.709638,09:07:27,11:07:27,3841,01:04:01,Thunderbird,Mail
"Click on ""Junk"" Thunderbird menu button",Left Click,1712653648.853549,09:07:28,11:07:28,3843,01:04:03,Thunderbird,Mail
"click on ""Inbox"" Thunderbird menu button",Left Click,1712653652.677574,09:07:32,11:07:32,3846,01:04:06,Thunderbird,Mail
"Click on ""Trash"" Thunderbird menu button",Left Click,1712653654.141577,09:07:34,11:07:34,3848,01:04:08,Thunderbird,Mail
"Click on ""Junk"" Thunderbird menu button",Left Click,1712653656.213650,09:07:36,11:07:36,3850,01:04:10,Thunderbird,Mail
"Open mlannuzel ""Text:"" mail",Left Click,1712653657.613646,09:07:37,11:07:37,3851,01:04:11,Thunderbird,Mail
"Open  Microsoft Account ""Welcome"" mail",Left Click,1712653661.909819,09:07:41,11:07:41,3856,01:04:16,Thunderbird,Mail
"Click on ""Inbox"" Thunderbird menu button",Left Click,1712653665.653653,09:07:45,11:07:45,3859,01:04:19,Thunderbird,Mail
Minimize Thunderbird window,Left Click,1712653667.357704,09:07:47,11:07:47,3861,01:04:21,Thunderbird,Mail
Open terminal app,Left Click,1712653670.629710,09:07:50,11:07:50,3864,01:04:24,Terminal,System
Drag terminal window,Left Click,1712653673.357781,09:07:53,11:07:53,3867,01:04:27,Terminal,System
Click on terminal command field,Left Click,1712653673.749736,09:07:53,11:07:53,3867,01:04:27,Terminal,System
"Run ""ip a"" command",ENTER Key,1712653675.565745,09:07:55,11:07:55,3869,01:04:29,Terminal,System
"Run ""dhclient"" command",ENTER Key,1712653685.573847,09:08:05,11:08:05,3879,01:04:39,Terminal,System
"Run ""sudo dhclient"" command",ENTER Key,1712653688.557873,09:08:08,11:08:08,3882,01:04:42,Terminal,System
Validate password,ENTER Key,1712653690.821864,09:08:10,11:08:10,3885,01:04:45,Terminal,System
Click on background Firefox url bar,Left Click,1712653699.533878,09:08:19,11:08:19,3893,01:04:53,Firefox,Browsing
Close Firefox app,Left Click,1712653702.285908,09:08:22,11:08:22,3896,01:04:56,Firefox,Browsing
Click on terminal command field,Left Click,1712653703.949982,09:08:23,11:08:23,3898,01:04:58,Terminal,System
"Run ""ip a"" command",ENTER Key,1712653705.174071,09:08:25,11:08:25,3899,01:04:59,Terminal,System
"Run ""reboot now"" command",ENTER Key,1712653725.926100,09:08:45,11:08:45,3920,01:05:20,Terminal,System
"Run ""shutdown now"" command",ENTER Key,1712653729.414149,09:08:49,11:08:49,3923,01:05:23,Terminal,System
Click on VMware app,Right Click,1712653738.078133,09:08:58,11:08:58,3932,01:05:32,VMWare,Other
"Click on ""New Window"" proposition",Left Click,1712653742.630242,09:09:02,11:09:02,3936,01:05:36,VMWare,Other
"Select ""Ubuntu 64-bit"" proposition",Left Click,1712653746.246184,09:09:06,11:09:06,3940,01:05:40,VMWare,Other
"Click on ""Power on"" button",Left Click,1712653747.414207,09:09:07,11:09:07,3941,01:05:41,VMWare,Other
